*******************************************************************
 MagChain 24Nov2011
 web: www.icmab.es/softmattertheory/
 Please include this reference in published work using MagChain:
 arXiv:1111.5784 [cond-mat.soft]
*******************************************************************

initial number of particles: 500
initial number of objects: 500
timestep: 0.1
simulation box: 100 100 200

volume (length unit: diameter colloids) = 2e+06
number density (Num parts./Volume) = 0.00025
volume fraction = 0.0001309

attraction radius values:
(1) 0.983094
(2) 1.12781
(3) 1.19748
(4) 1.23785
(5) 1.26372
(6) 1.28133
(7) 1.2939
(8) 1.30312
(9) 1.31014
(10) 1.31562
(11) 1.32005
(12) 1.32351
(13) 1.32648
(14) 1.32881
(15) 1.33082
(16) 1.33244
(17) 1.33389
(18) 1.33515
(19) 1.3363
(20) 1.33723
(21) 1.33803
(22) 1.33868
(23) 1.33937
(24) 1.33991
(25) 1.34042


histogram size 20
save stats every 10 timestep(s)
save trajectory every 100 timestep(s)
save restart file every 100 timestep(s)
save histogram every 100 timestep(s)

production limit: 1000

##### end initialization #####

Equilibration for 0 timesteps...

Elapsed Equilibration time: 0 seconds

Production for 1000 timesteps...
timestep:810; A:383; N:1.30548; S:1.65600; ET:30.00000;
timestep:820; A:381; N:1.31234; S:1.67600; ET:30.00000;
timestep:830; A:380; N:1.31579; S:1.68800; ET:30.00000;
timestep:840; A:379; N:1.31926; S:1.69200; ET:31.00000;
timestep:850; A:378; N:1.32275; S:1.69600; ET:31.00000;
timestep:860; A:377; N:1.32626; S:1.70000; ET:31.00000;
timestep:870; A:374; N:1.33690; S:1.71200; ET:32.00000;
timestep:880; A:373; N:1.34048; S:1.71600; ET:32.00000;
timestep:890; A:373; N:1.34048; S:1.71600; ET:32.00000;
timestep:900; A:372; N:1.34409; S:1.72000; ET:32.00000;
timestep:910; A:372; N:1.34409; S:1.72000; ET:33.00000;
timestep:920; A:371; N:1.34771; S:1.72400; ET:33.00000;
timestep:930; A:370; N:1.35135; S:1.72800; ET:33.00000;
timestep:940; A:370; N:1.35135; S:1.72800; ET:33.00000;
timestep:950; A:370; N:1.35135; S:1.72800; ET:34.00000;
timestep:960; A:369; N:1.35501; S:1.74400; ET:34.00000;
timestep:970; A:366; N:1.36612; S:1.76000; ET:34.00000;
timestep:980; A:366; N:1.36612; S:1.76000; ET:34.00000;
timestep:990; A:366; N:1.36612; S:1.76000; ET:35.00000;
timestep:1000; A:363; N:1.37741; S:1.78400; ET:35.00000;

Elapsed Production time: 35.00000 seconds
